,StopID,Name,Routes
0,2,Parnell Square,"['38', '38A', '38B', '38D', '46A', '46E']"
1,3,Parnell Square,"['120', '122']"
2,4,Parnell Square,"['7', '7A', '7B', '7D', '9']"
3,6,Parnell Square,"['4', '155']"
4,7,Parnell Square,"['13', '140', '40', '40B', '40D']"
5,8,Parnell Square,['16']
6,10,Parnell Square,"['16', '16C', '11', '1', '44']"
7,11,Dorset St,"['40D', '40B', '40', '13']"
8,12,Dorset St,"['11', '1', '122', '16', '44']"
9,14,Dorset St,"['44', '40', '40B', '40D', '16', '122', '13', '1', '11']"
10,15,Dorset St,"['11', '1', '13', '16', '33', '33E', '40D', '40B', '41', '40', '41B', '41C', '41D', '44']"
11,16,Nephin Road,"['70D', '122']"
12,17,Drumcondra Rd,"['13', '1', '11', '16', '33', '33E', '44', '41D', '41C', '41B', '41']"
13,18,Drumcondra Rd,"['41', '41B', '41C', '41D', '44', '33E', '33', '16', '11', '1', '13']"
14,19,Drumcondra Rd,"['13', '1', '11', '16', '33', '33E', '44', '41D', '41C', '41B', '41']"
15,21,Drumcondra Rd,"['41', '41B', '41C', '41D', '44', '33E', '33', '16', '11', '1', '13']"
16,22,Home Farm Road,['11']
17,23,Home Farm Road,['11']
18,24,Home Farm Road,['11']
19,25,Home Farm Road,['11']
20,27,Ballymun Road,"['11', '13', '155', '4', '70D', '9']"
21,28,Ballymun Road,"['9', '70D', '4', '155', '13', '11']"
22,29,Ballymun Road,"['11', '13', '155', '4', '70D', '9']"
23,30,Ventry Park,"['40E', '120']"
24,31,St. Pappin's Road,['11']
25,32,St. Pappin's Road,['11']
26,33,Glasnevin Drive,['11']
27,35,St. Pappin's Road,['11']
28,36,St. Pappin's Road,['11']
29,37,Ballymun Road,"['11', '13', '155', '4', '70D', '9']"
30,38,Ballymun Road,"['9', '70D', '4', '155', '13', '11']"
31,39,Ballymun Road,"['11', '13', '155', '4', '70D', '9']"
32,40,Mobhi Road,"['9', '4', '155', '11']"
33,41,Home Farm Road,['11']
34,42,Home Farm Road,['11']
35,43,Home Farm Road,['11']
36,44,Drumcondra Rd,"['11', '1', '13', '16', '16C', '16D', '33', '41', '41B', '41C', '41D', '44']"
37,45,Drumcondra Rd,"['44', '41C', '41D', '41B', '41', '33', '16C', '16', '16D', '13', '11', '1']"
38,46,Drumcondra Rd,"['1', '11', '13', '16D', '16', '16C', '33', '41', '41B', '41D', '41C', '44']"
39,47,Drumcondra Rd,"['44', '41C', '41D', '41B', '41', '33', '16C', '16', '16D', '13', '11', '1']"
40,48,Drumcondra Rd,"['1', '11', '13', '16D', '16', '16C', '33', '41', '41B', '41D', '41C', '44']"
41,49,Dorset St,"['44', '41C', '41D', '41B', '41', '40D', '40B', '40', '33', '16C', '16', '16D', '13', '11', '1']"
42,51,Dorset St,"['1', '11', '122', '13', '16D', '16', '16C', '33', '40', '40B', '40D', '41B', '41', '41C', '41D', '44']"
43,52,Dorset St,"['44', '41D', '41C', '41', '41B', '40D', '40B', '40', '33', '16', '16C', '16D', '13', '122', '11', '1']"
44,53,North Circular Road,['122']
45,54,North Circular Road,['122']
46,55,North Circular Road,['122']
47,56,Cabra Road,"['122', '120']"
48,57,Cabra Road,"['38D', '38B', '38', '38A']"
49,58,Cabra Road,"['38A', '38', '38B', '38D', '120', '122']"
50,59,Cabra Road,"['122', '38D', '38B', '38', '38A']"
51,60,Cabra Road,"['38A', '38', '38B', '38D', '122']"
52,63,Faussagh Avenue,['122']
53,64,Faussagh Avenue,['122']
54,65,Faussagh Avenue,['122']
55,66,Faussagh Avenue,['122']
56,68,Ventry Drive,"['120', '40E']"
57,69,Carnlough Road,"['40E', '120']"
58,71,Ventry Park,"['120', '40E']"
59,72,Ventry Drive,"['40E', '120']"
60,73,Faussagh Avenue,['122']
61,74,Faussagh Avenue,['122']
62,75,Faussagh Avenue,['120']
63,77,Cabra Road,"['122', '38D', '38B', '38A', '38']"
64,78,Cabra Road,"['38', '38A', '38B', '38D', '122']"
65,79,Cabra Road,"['122', '120', '38D', '38B', '38A', '38']"
66,80,Cabra Road,"['38', '38A', '38B', '38D', '120', '122']"
67,81,North Circular Road,['46A']
68,82,North Circular Road,"['122', '120', '38D', '38B', '38A', '38']"
69,83,North Circular Road,['122']
70,84,North Circular Road,['122']
71,85,Drumcondra Rd,"['1', '13', '16', '33', '33E', '44', '41', '41C', '41B', '41D']"
72,86,Griffith Avenue,['13']
73,87,Griffith Avenue,['13']
74,88,Griffith Avenue,['13']
75,89,Griffith Avenue,['13']
76,90,Ballymun Road,"['13', '155', '4', '70D', '9']"
77,91,Ballymun Road,"['9', '70D', '4', '155', '13']"
78,92,Ballymun Road,"['13', '155', '4', '42D']"
79,93,Ballymun Road,"['42D', '4', '155', '13']"
80,94,Ballymun Road,"['13', '155', '4', '42D']"
81,100,Wellington Road,"['54A', '150']"
82,102,Balbutcher Lane,['13']
83,104,Balbutcher Lane,['13']
84,105,Balbutcher Lane,['13']
85,107,Balbutcher Lane,['13']
86,110,Balbutcher Lane,['13']
87,112,Ballymun Road,"['13', '155', '42D', '4']"
88,113,Ballymun Road,"['4', '42D', '155', '13']"
89,114,Ballymun Road,"['13', '155', '42D', '4']"
90,115,Ballymun Road,"['9', '4', '70D', '155', '13']"
91,116,Griffith Avenue,['13']
92,117,Griffith Avenue,['13']
93,118,Griffith Avenue,['13']
94,119,Drumcondra Rd,"['13', '1', '16C', '16', '16D', '33', '41', '41B', '41C', '41D', '44']"
95,124,Virgin Mary Church,"['220A', '220']"
96,126,Ballymun Road,"['42D', '4', '155']"
97,127,Ballymun Road,"['155', '4']"
98,128,Glasnevin Avenue,['17A']
99,129,Glasnevin Avenue,['9']
100,130,Glasnevin Avenue,['9']
101,131,Glasnevin Avenue,['9']
102,132,Beneavin Park,['17A']
103,133,Grove Park Road,"['83A', '83']"
104,134,Sycamore Rd,"['83', '83A']"
105,136,McKee Road,['9']
106,137,McKee Road,['9']
107,138,Ballygall Road West,"['9', '83A', '83']"
108,139,Grove Park Road,['17A']
109,140,Beneavin Park,['17A']
110,141,Glasnevin Avenue,['9']
111,142,Glasnevin Avenue,['9']
112,143,Glasnevin Avenue,['9']
113,146,Mobhi Road,"['9', '4', '155']"
114,147,Mobhi Road,"['155', '4', '9']"
115,148,Mobhi Road,"['9', '4', '155']"
116,149,Mobhi Road,"['155', '4', '9']"
117,150,Mobhi Road,"['9', '4', '155']"
118,151,Botanic Rd,"['83', '83A']"
119,153,Glasnevin Hill,"['83A', '83']"
120,154,Old Finglas Rd,"['83', '83A']"
121,155,Old Finglas Rd,"['83A', '83']"
122,156,Tolka Estate,"['83', '83A', '70D']"
123,157,Glasilawn Road,['83A']
124,158,Griffith Road,['83A']
125,159,Griffith Parade,['83A']
126,164,Beneavin Rd,['9']
127,165,Beneavin Rd,['9']
128,166,Beneavin Rd,['9']
129,167,Beneavin Rd,['9']
130,168,Beneavin Rd,['9']
131,169,Beneavin Rd,['9']
132,173,Glasnamana Place,['83A']
133,174,Tolka Estate,['83A']
134,175,Tolka Estate,"['83A', '83', '70D']"
135,176,Old Finglas Rd,"['83', '83A']"
136,177,Ballygall Rd East,['83']
137,178,Ballygall Rd East,['83']
138,179,Ballygall Rd East,['83']
139,181,Old Finglas Rd,"['83', '83A']"
140,182,Glasnevin Hill,"['83A', '83']"
141,183,Botanic Rd,"['83', '83A']"
142,184,Botanic Rd,"['83A', '9', '83', '4', '155']"
143,185,Botanic Rd,"['155', '4', '83', '9', '83A']"
144,186,Prospect Road,"['83A', '9', '83', '4', '40', '40B', '40D', '155', '140']"
145,187,Phibsboro Road,"['140', '155', '40', '4', '83', '9', '83A']"
146,188,Phibsboro Road,"['83A', '9', '83', '4', '40', '155', '140']"
147,189,Phibsboro Road,"['140', '155', '40', '4', '83', '9', '83A']"
148,190,Phibsboro Road,"['83A', '9', '83', '4', '40', '155', '140']"
149,191,Western Way,"['140', '155', '4', '9']"
150,192,Mountjoy Street,"['40', '46A', '120', '38', '38A', '38B', '38D']"
151,193,Mckee Road,['9']
152,194,Western Way,"['9', '140', '155', '4']"
153,195,Phibsboro Road,"['4', '83', '155', '140', '9', '83A']"
154,196,Phibsboro Road,"['83A', '9', '140', '155', '83', '4']"
155,197,Phibsboro Road,"['4', '83', '155', '140', '9', '83A']"
156,198,Phibsboro Road,"['83A', '9', '140', '155', '83', '4']"
157,199,Phibsboro Road,"['4', '83', '155', '140', '9', '83A']"
158,200,Prospect Way,"['83A', '9', '155', '83', '4']"
159,201,Botanic Rd,"['4', '83', '155', '9', '83A']"
160,202,Botanic Rd,"['83A', '83']"
161,203,Swords Road,"['41', '41C', '41D', '41B', '44', '16', '1', '33', '33E']"
162,204,Swords Road,"['33E', '33', '1', '16', '44', '41B', '41D', '41C', '41']"
163,205,Swords Road,"['41', '41C', '41D', '41B', '44', '16', '1', '33', '33E']"
164,206,Collins Ave,"['31D', '44']"
165,207,Larkhill Rd,['44']
166,208,Glendun Rd,"['44', '16', '16C']"
167,209,Larkhill Rd,"['16C', '16', '44']"
168,210,Larkhill Rd,"['44', '16', '16C']"
169,211,Collins Ave,"['16C', '16', '44']"
170,212,Collins Ave,"['44', '16', '16C']"
171,213,Swords Road,"['16C', '16D', '16', '1', '33', '44', '41B', '41C', '41D', '41']"
172,214,Swords Road,"['41', '41D', '41C', '41B', '44', '33', '1', '16', '16D', '16C']"
173,215,Collins Ave,"['16C', '16']"
174,216,Beaumont Road,"['16', '16C', '14']"
175,217,Beaumont Road,"['14', '16C', '16']"
176,218,Shantalla Road,"['16', '16C']"
177,219,Shantalla Road,"['16C', '16']"
178,220,Swords Road,"['16', '1', '33', '33E', '41B', '41C', '41D', '41']"
179,221,Shanowen Rd,['1']
180,222,Shanliss Rd,['1']
181,223,Shanliss Rd,['1']
182,224,Shanard Road,['1']
183,225,Shanard Road,['1']
184,226,Shanard Road,"['1', '16']"
185,227,Shanliss Rd,"['16', '1']"
186,228,Shanliss Rd,"['1', '16']"
187,229,Shanliss Rd,"['16', '1']"
188,230,Shanliss Rd,"['1', '16']"
189,231,Swords Road,"['16', '16C', '16D', '1', '33', '41', '41D', '41C', '41B']"
190,232,Shantalla Road,"['16C', '16']"
191,233,Shantalla Road,"['16', '16C']"
192,234,Beaumont Road,"['16C', '16', '14C', '14']"
193,235,Beaumont Road,"['14', '14C', '16', '16C']"
194,236,Beaumont Road,"['16C', '16', '14C', '14']"
195,237,Collins Ave,"['16', '16C', '31D']"
196,242,Beaumont Road,['14']
197,243,Beaumont Road,['14']
198,244,Skelly's Lane,['14']
199,245,Skelly's Lane,['14']
200,246,Kilmore Rd,['14']
201,247,Ardlea Road,['27B']
202,248,Maryfield Drive,"['14', '14C']"
203,249,Kilmore Rd,"['14C', '14']"
204,250,Skelly's Lane,"['14', '14C']"
205,251,Skelly's Lane,"['14C', '14']"
206,252,Skelly's Lane,"['14', '14C']"
207,253,Beaumont Hospital,['27B']
208,254,Beaumont Hospital,"['27B', '14']"
209,255,Beaumont Road,"['14', '14C']"
210,261,Parnell Square,"['13', '11', '116', '40', '747']"
211,262,Parnell Square,"['16C', '16D', '16']"
212,263,Parnell Square,"['120', '122', '747', '9']"
213,264,Parnell Square,"['46A', '140', '155']"
214,265,Parnell Square,"['1', '38D', '38', '38B', '38A', '44']"
215,270,O'Connell St,"['40', '13', '16', '16D', '16C']"
216,271,O'Connell St,"['1', '11', '122', '44', '53', '747']"
217,272,O'Connell St,"['44', '123']"
